id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,circulating_supply,last_updated
usd1-wlfi,usd1,USD1,0.99883,2742485931,47,321362751.0,0.999451,0.998537,-0.01985,2744886748.083781,2025-12-22 12:23
rain,rain,Rain,0.00746387,2534293769,48,28575375.0,0.00770962,0.00741605,-2.51544,339548294405.81976,2025-12-22 12:23
bitget-token,bgb,Bitget Token,3.49,2445222604,49,48483782.0,3.5,3.47,0.1338,699992035.9787906,2025-12-22 12:23
aave,aave,Aave,158.11,2404032047,50,585178023.0,178.34,158.12,-11.34088,15192988.869562106,2025-12-22 12:23
memecore,m,MemeCore,1.4,2398070895,51,20544877.0,1.53,1.32,3.23328,1715641306.24616,2025-12-22 12:23
okb,okb,OKB,110.14,2311302265,52,22340445.0,110.19,105.41,1.88683,21000000.0,2025-12-22 12:23
tether-gold,xaut,Tether Gold,4404.12,2290520227,53,192128877.0,4416.01,4341.77,1.12214,520089.3,2025-12-22 12:23
falcon-finance,usdf,Falcon USD,0.998437,2222691593,54,1923652.0,1.0,0.996053,0.04106,2223785133.275282,2025-12-22 12:23
bittensor,tao,Bittensor,228.56,2188201963,55,74401652.0,228.37,216.92,2.66308,9597491.0,2025-12-22 12:23
near,near,NEAR Protocol,1.57,2006362055,56,173246598.0,1.57,1.46,3.0907,1283131543.0,2025-12-22 12:23
ethereum-classic,etc,Ethereum Classic,12.38,1914777721,57,49403577.0,12.42,12.04,0.39399,154818497.564377,2025-12-22 12:23
binance-peg-weth,weth,Binance-Peg WETH,3055.19,1846463215,58,48002458.0,3055.79,2949.31,1.75807,604999.9999588211,2025-12-22 12:23
jito-staked-sol,jitosol,Jito Staked SOL,158.8,1820726483,59,16194608.0,159.59,154.46,1.01492,11469986.80820089,2025-12-22 12:23
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,1745899705,60,0.0,1.0,1.0,0.0,1745899705.340449,2025-12-22 12:15
aster-2,aster,Aster,0.731611,1739013248,61,167674689.0,0.731562,0.688104,1.75167,2375039672.0,2025-12-22 12:23
pi-network,pi,Pi Network,0.206456,1726172041,62,11049784.0,0.207973,0.204391,-0.27135,8367820707.786117,2025-12-22 12:23
midnight-3,night,Midnight,0.103553,1694210536,63,7586077839.0,0.118448,0.091312,12.27978,16607399400.63495,2025-12-22 12:23
pepe,pepe,Pepe,4e-06,1681121900,64,302734742.0,4.1e-06,3.96e-06,-2.37771,420690000000000.0,2025-12-22 12:23
internet-computer,icp,Internet Computer,3.05,1660421745,65,89463062.0,3.13,3.02,-2.65553,545870282.381163,2025-12-22 12:23
ethena,ena,Ethena,0.214517,1648111187,66,161692305.0,0.216513,0.204647,0.83482,7690625000.0,2025-12-22 12:23
syrupusdc,syrupusdc,syrupUSDC,1.14,1620692549,67,9882817.0,1.14,1.14,-0.01399,1418384750.245437,2025-12-22 12:23
wrapped-solana,sol,Wrapped SOL,127.13,1567240874,68,480200499.0,127.45,123.59,1.05912,12340476.14292864,2025-12-22 12:23
sky,sky,Sky,0.06831,1564976433,69,24042459.0,0.068617,0.062873,8.02252,22915234424.26374,2025-12-22 12:23
hash-2,hash,Provenance Blockchain,0.02966204,1557120070,70,1728.27,0.03181722,0.02855816,0.9295,52560030880.0,2025-12-22 12:23
pax-gold,paxg,PAX Gold,4427.93,1553624859,71,152841696.0,4431.09,4356.39,1.62624,350902.823,2025-12-22 12:23
htx-dao,htx,HTX DAO,1.66e-06,1545066425,72,10537375.0,1.67e-06,1.66e-06,0.2587,930149437822426.1,2025-12-22 12:23
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.58,1536358828,73,37258224.0,4.59,4.49,0.76465,335815980.941886,2025-12-22 12:23
global-dollar,usdg,Global Dollar,0.999658,1514171201,74,28500893.0,0.999917,0.999508,-0.01387,1514606549.957715,2025-12-22 12:23
hashnote-usyc,usyc,Circle USYC,1.11,1432378677,75,222194.0,1.11,1.11,0.00026,1289305602.901632,2025-12-22 12:23
kucoin-shares,kcs,KuCoin,10.91,1414281031,76,4346551.0,10.93,10.68,1.15814,129675261.7355671,2025-12-22 12:23
ripple-usd,rlusd,Ripple USD,0.99954,1358529021,77,59571982.0,1.0,0.999285,-0.03572,1359131173.653136,2025-12-22 12:23
bfusd,bfusd,BFUSD,0.999065,1318856652,78,11456102.0,0.999258,0.998677,-0.0125,1320000000.0,2025-12-22 12:23
kaspa,kas,Kaspa,0.04848259,1296826101,79,32255745.0,0.048459,0.04521956,4.11973,26777148610.50726,2025-12-22 12:23
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),1.0,1288576069,80,390459030.0,1.001,0.997805,0.0259,1288999879.839804,2025-12-22 12:23
worldcoin-wld,wld,Worldcoin,0.517374,1277980896,81,76973655.0,0.520003,0.497972,0.59801,2474771966.787982,2025-12-22 12:23
rocket-pool-eth,reth,Rocket Pool ETH,3521.48,1273716025,82,3165267.0,3517.96,3396.04,1.82824,362289.9001168257,2025-12-22 12:23
ondo-finance,ondo,Ondo,0.4009,1261434030,83,54419400.0,0.400849,0.381864,1.52768,3159107529.0,2025-12-22 12:23
syrupusdt,syrupusdt,syrupUSDT,1.11,1260762680,84,654621.0,1.11,1.11,-0.07431,1137730873.906774,2025-12-22 12:23
aptos,apt,Aptos,1.64,1227522112,85,209411562.0,1.65,1.55,1.1241,749360026.813504,2025-12-22 12:23
gatechain-token,gt,Gate,10.33,1213346338,86,4138586.0,10.46,10.16,0.51944,117344473.53114802,2025-12-22 12:23
binance-staked-sol,bnsol,Binance Staked SOL,138.54,1207549383,87,2955621.0,139.72,134.68,0.96156,8712623.879585136,2025-12-22 12:23
wbnb,wbnb,Wrapped BNB,867.47,1201704977,88,420777536.0,867.16,846.19,0.97121,1387981.681948683,2025-12-22 12:22
pump-fun,pump,Pump.fun,0.00200554,1182492338,89,88594328.0,0.00202521,0.00189086,2.16478,590000000000.0,2025-12-22 12:23
polygon-ecosystem-token,pol,POL (ex-MATIC),0.109007,1149562879,90,50027664.0,0.109184,0.10614,-0.12875,10559031803.24114,2025-12-22 12:23
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3232.75,1143506267,91,14599.81,3234.15,3124.98,1.53346,353775.6695569972,2025-12-22 12:23
quant-network,qnt,Quant,77.38,1124674131,92,15622185.0,78.27,76.0,-0.9531,14544176.164081175,2025-12-22 12:23
arbitrum,arb,Arbitrum,0.191199,1092130575,93,97455763.0,0.192229,0.183097,0.70152,5719286371.0,2025-12-22 12:23
janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,1.018,1018531717,94,0.0,1.018,1.018,0.0,1000739568.311341,2025-12-22 12:20
lombard-staked-btc,lbtc,Lombard Staked BTC,90127.0,1007431688,95,2715021.0,90102.0,87712.0,1.45883,11184.193598,2025-12-22 12:23
ignition-fbtc,fbtc,Function FBTC,90192.0,1004905961,96,58324.0,90441.0,87126.0,1.52902,11137.93111376,2025-12-22 12:23
official-trump,trump,Official Trump,5.0,1000207385,97,178720137.0,5.13,4.99,-2.43802,199999973.087224,2025-12-22 12:23
solv-btc,solvbtc,Solv Protocol BTC,89626.0,995386541,98,71747.0,89739.0,87077.0,1.43072,11112.89968715305,2025-12-22 12:23
algorand,algo,Algorand,0.112108,988723188,99,36387226.0,0.113502,0.110427,-1.19469,8834429307.714745,2025-12-22 12:23
filecoin,fil,Filecoin,1.32,959860250,100,81175391.0,1.32,1.26,0.4565,728776441.0,2025-12-22 12:23
cosmos,atom,Cosmos Hub,1.97,953436899,101,29601089.0,1.97,1.91,0.55878,484216701.026017,2025-12-22 12:23
nexo,nexo,NEXO,0.930864,930950281,102,11673994.0,0.938158,0.922417,-0.50139,1000000000.0,2025-12-22 12:23
flare-networks,flr,Flare,0.01160873,929204023,103,4706012.0,0.01185265,0.0113524,-0.39094,80489379017.22737,2025-12-22 12:23
liquid-staked-ethereum,lseth,Liquid Staked ETH,3263.6,926087814,104,17344.01,3263.6,3169.83,2.54426,284395.0389026204,2025-12-22 12:23
vechain,vet,VeChain,0.01066782,914252311,105,29049308.0,0.01076667,0.01033314,-0.23973,85985041177.0,2025-12-22 12:23
xdce-crowd-sale,xdc,XDC Network,0.047195,873696015,106,33506787.0,0.04763973,0.04496664,3.03363,18525923672.25,2025-12-22 12:23
usdtb,usdtb,USDtb,0.999447,851777172,107,1696766.0,1.003,0.998809,-0.03892,851439903.9061826,2025-12-22 12:23
usdd,usdd,USDD,0.999497,831114201,108,7146767.0,0.999792,0.999349,-0.01516,831439026.0,2025-12-22 12:23
ousg,ousg,OUSG,113.7,829492108,109,0.0,113.7,113.7,0.0,7295703.373731095,2025-12-22 12:20
superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),10.93,817633549,110,0.0,10.93,10.93,0.0,74805534.968775,2025-12-22 12:20
wrappedm-by-m0,wm,WrappedM by M^0,0.999844,781900948,111,13133990.0,1.0,0.99963,0.00853,782021269.624249,2025-12-22 12:23
sei-network,sei,Sei,0.114295,739268022,112,61196734.0,0.114283,0.105915,3.21675,6491111111.0,2025-12-22 12:23
beldex,bdx,Beldex,0.096863,724853674,113,10541021.0,0.097919,0.096078,0.13581,7474859805.504154,2025-12-22 12:23
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),89851.0,723262916,114,86054068.0,89800.0,87426.0,1.44525,8054.55613321,2025-12-22 12:23
bridged-usdc-polygon-pos-bridge,usdc.e,Polygon Bridged USDC (Polygon PoS),0.999687,696372986,115,24750866.0,0.999909,0.9996,-0.0125,696639895.539311,2025-12-22 12:23
mantle-staked-ether,meth,Mantle Staked Ether,3299.87,692896542,116,1847823.0,3318.86,3190.93,1.74321,210027.3544462589,2025-12-22 12:23
clbtc,clbtc,clBTC,89447.0,690822062,117,2.94,89852.0,88701.0,-0.01054,7723.217000000001,2025-12-22 09:09
render-token,render,Render,1.33,687444473,118,34828717.0,1.33,1.24,4.09496,518584616.1640741,2025-12-22 12:23
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.1,685441555,119,1377280.0,1.12,1.097,0.15388,622767464.7929711,2025-12-22 12:23
pancakeswap-token,cake,PancakeSwap,1.85,682608559,120,51119513.0,1.89,1.78,-2.20848,371373639.1065337,2025-12-22 12:23
bonk,bonk,Bonk,8.21e-06,680024617,121,56831989.0,8.26e-06,7.9e-06,0.67033,82901513739604.31,2025-12-22 12:23
renzo-restaked-eth,ezeth,Renzo Restaked ETH,3257.91,674359805,122,204654.0,3256.41,3144.73,1.76272,207383.6533552056,2025-12-22 12:23
morpho,morpho,Morpho,1.23,663688123,123,12139916.0,1.25,1.19,0.75782,540841994.0432571,2025-12-22 12:23
wrapped-flare,wflr,Wrapped Flare,0.01163477,652903982,124,5401923.0,0.01188553,0.01135582,-0.1845,56499783116.93748,2025-12-22 12:23
usdai,usdai,USDai,0.999731,651767233,125,9741202.0,1.001,0.999766,-0.08577,651892215.3809093,2025-12-22 12:23
polygon-pos-bridged-dai-polygon-pos,dai,Polygon PoS Bridged DAI (Polygon POS),0.999674,633555903,126,8126834.0,1.0,0.999512,-0.02519,633789577.0292572,2025-12-22 12:23
kinetic-staked-hype,khype,Kinetiq Staked HYPE,25.41,631833667,127,4674012.0,25.73,23.93,3.9266,24962107.31319333,2025-12-22 12:23
myx-finance,myx,MYX Finance,3.28,625378053,128,43417389.0,3.59,2.78,13.71394,190768939.69,2025-12-22 12:23
audiera,beat,Audiera,4.41,618959575,129,132520893.0,4.91,2.71,51.09612,139300000.0,2025-12-22 12:23
jupiter-exchange-solana,jup,Jupiter,0.196162,614138835,130,24233181.0,0.197572,0.186884,1.37114,3136946850.44,2025-12-22 12:23
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),3053.18,612049464,131,576333248.0,3050.97,2948.15,1.8268,200584.962065874,2025-12-22 12:23
stakewise-v3-oseth,oseth,StakeWise Staked ETH,3214.01,604641286,132,12119.49,3213.53,3104.08,1.70934,188214.7119603,2025-12-22 12:23
jupiter-staked-sol,jupsol,Jupiter Staked SOL,147.11,600131518,133,2941784.0,148.38,143.07,1.02365,4082807.822187017,2025-12-22 12:23
pudgy-penguins,pengu,Pudgy Penguins,0.00937288,588420341,134,124973659.0,0.00937925,0.0088316,1.85258,62860396090.0,2025-12-22 12:23
fasttoken,ftn,Fasttoken,1.28,555045421,135,13449837.0,1.41,0.442784,178.91309,433805191.4,2025-12-22 12:23
c8ntinuum,ctm,c8ntinuum,0.124024,551537380,136,1080152.0,0.124564,0.120133,1.15687,4448661553.432732,2025-12-22 12:23
usual-usd,usd0,Usual USD,0.997403,546469536,137,2193388.0,1.001,0.993964,0.01499,547880673.5694067,2025-12-22 12:23
tbtc,tbtc,tBTC,90000.0,544712724,138,13481268.0,89890.0,87187.0,1.63909,6059.845761479999,2025-12-22 12:23
optimism,op,Optimism,0.276723,536798587,139,59350692.0,0.279062,0.26442,0.5293,1944092497.0,2025-12-22 12:23
curve-dao-token,crv,Curve DAO,0.373011,535391951,140,73624629.0,0.372548,0.340142,6.10142,1438250452.0,2025-12-22 12:23
story-2,ip,Story,1.57,531989098,141,44352668.0,1.6,1.46,-2.23573,339931926.97,2025-12-22 12:23
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),3054.52,528203524,142,269124708.0,3052.17,2947.4,1.65918,173056.9895589853,2025-12-22 12:23
first-digital-usd,fdusd,First Digital USD,0.9994,518112215,143,432677943.0,1.0,0.998852,0.00113,518424376.268817,2025-12-22 12:23
gho,gho,GHO,0.999529,494984942,144,4136456.0,1.002,0.99819,-0.05033,495256817.617825,2025-12-22 12:23
eutbl,eutbl,Spiko EU T-Bills Money Market Fund,1.23,492857059,145,0.0,1.23,1.22,-0.00434,402009787.16588,2025-12-22 12:20
lido-dao,ldo,Lido DAO,0.551897,492699633,146,33545948.0,0.555165,0.527066,1.74001,893568192.593889,2025-12-22 12:23
true-usd,tusd,TrueUSD,0.996021,492564210,147,8828663.0,0.996289,0.995137,0.04217,494515083.0,2025-12-22 12:23
fetch-ai,fet,Artificial Superintelligence Alliance,0.21104,487265582,148,58817376.0,0.210948,0.201258,1.27866,2312068730.931729,2025-12-22 12:23
gteth,gteth,GTETH,3052.37,487106144,149,160198.0,3052.37,2951.03,1.73536,159790.0,2025-12-22 12:23
tezos,xtz,Tezos,0.452074,483399053,150,15444695.0,0.45193,0.432287,1.44491,1069571350.384444,2025-12-22 12:23
dash,dash,Dash,38.64,483250456,151,73738271.0,39.18,37.68,-1.2094,12522527.08934155,2025-12-22 12:23
virtual-protocol,virtual,Virtuals Protocol,0.733459,479816329,152,76378339.0,0.73466,0.689566,2.01207,656101378.8092347,2025-12-22 12:23
ether-fi,ethfi,Ether.fi,0.72698,473590134,153,35293354.0,0.73512,0.709303,-1.10739,652762352.0,2025-12-22 12:23
injective-protocol,inj,Injective,4.71,471662817,154,36025046.0,4.72,4.51,0.72513,100000000.0,2025-12-22 12:23
aerodrome-finance,aero,Aerodrome Finance,0.515093,468139578,155,13918097.0,0.51454,0.490917,2.45075,911668714.8841513,2025-12-22 12:23
spx6900,spx,SPX6900,0.506547,467952773,156,16447419.0,0.504301,0.464421,4.54932,930993080.908372,2025-12-22 12:23
merlin-chain,merl,Merlin Chain,0.428078,467454097,157,22087950.0,0.430883,0.406805,0.88198,1088486883.0,2025-12-22 12:23
newton-project,ab,AB,0.00497571,460967761,158,13791529.0,0.0049888,0.00496364,-0.00187,92623815763.95,2025-12-22 12:23
blockstack,stx,Stacks,0.253891,460754412,159,9746908.0,0.255272,0.245296,0.01306,1818421151.9688,2025-12-22 12:23
stader-ethx,ethx,Stader ETHx,3287.59,450874065,160,1348.03,3285.48,3174.69,1.60119,137400.5597219438,2025-12-22 12:23
ether-fi-liquid-eth,liquideth,Ether.Fi Liquid ETH,3288.53,448457736,161,8799.62,3288.53,3142.02,3.05993,136476.9034221386,2025-12-22 12:23
msol,msol,Marinade Staked SOL,171.21,441859910,162,2685370.0,171.99,166.34,1.0883,2583088.0,2025-12-22 12:23
the-graph,grt,The Graph,0.0385414,410311256,163,38206444.0,0.03850204,0.03588088,3.59458,10656068627.16379,2025-12-22 12:23
wrapped-apecoin,wape,Wrapped ApeCoin,0.203141,407821076,164,289114.0,0.204889,0.196317,-0.85318,2008084456.9918,2025-12-22 12:23
sweth,sweth,Swell Ethereum,3349.07,406028589,165,21089.0,3347.3,3247.54,1.33296,121323.095741077,2025-12-22 12:23
starknet,strk,Starknet,0.081654,405656170,166,43592453.0,0.081701,0.077794,1.80191,4964699314.348971,2025-12-22 12:23
usdb,usdb,USDB,0.997542,405055167,167,337594.0,1.005,0.976967,0.10817,406046631.5607005,2025-12-22 12:23
just,jst,JUST,0.04025192,398730726,168,24205111.0,0.04079578,0.03985488,0.84916,9900000000.0,2025-12-22 12:23
celestia,tia,Celestia,0.466117,398656273,169,39480848.0,0.472016,0.44927,-0.64985,857186368.95008,2025-12-22 12:23
syrup,syrup,Maple Finance,0.347218,396421859,170,44898616.0,0.358597,0.324606,4.57766,1142547259.6985314,2025-12-22 12:23
sbtc-2,sbtc,sBTC,88793.0,395748553,171,20497.0,116533.0,87377.0,-0.34814,4456.76008713,2025-12-22 12:23
floki,floki,FLOKI,4.093e-05,395263060,172,29851028.0,4.136e-05,3.993e-05,-0.34299,9656692238047.0,2025-12-22 12:23
sun-token,sun,Sun Token,0.02045901,392638806,173,40697012.0,0.02059067,0.0202577,0.95778,19190396665.22267,2025-12-22 12:23
bittorrent,btt,BitTorrent,3.94495e-07,388961236,174,20332189.0,3.96481e-07,3.93028e-07,-0.42044,986061142857000.0,2025-12-22 12:23
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,3398.5,387585894,175,3095758.0,3397.63,3294.29,1.67076,114134.521433177,2025-12-22 12:23
steakhouse-usdc-morpho-vault,steakusdc,Steakhouse USDC Morpho Vault,1.11,383942382,176,71.86,1.11,1.11,-0.00941,345370162.0349052,2025-12-22 12:20
doublezero,2z,DoubleZero,0.10911,378548472,177,8327171.0,0.10992,0.105921,0.92012,3471417500.0,2025-12-22 12:23
conflux-token,cfx,Conflux,0.072834,375535161,178,11976755.0,0.072836,0.06943,1.35169,5159697336.126149,2025-12-22 12:23
bitcoin-cash-sv,bsv,Bitcoin SV,18.68,372974256,179,12872727.0,18.72,18.3,0.05467,19964106.25,2025-12-22 12:23
ethereum-name-service,ens,Ethereum Name Service,9.72,370701143,180,39471842.0,9.78,9.42,-0.51134,38192601.461014144,2025-12-22 12:23
telcoin,tel,Telcoin,0.00388431,370015471,181,1896419.0,0.00389136,0.00373295,1.92395,95077236366.71,2025-12-22 12:22
chiliz,chz,Chiliz,0.03615844,367212566,182,112677106.0,0.03707652,0.03568813,-2.43619,10172564203.0,2025-12-22 12:23
iota,iota,IOTA,0.08683,363722952,183,11619919.0,0.089434,0.085581,-2.91068,4195693727.0,2025-12-22 12:23
olympus,ohm,Olympus,22.21,362824632,184,161411.0,22.29,21.92,0.35858,16376217.36631088,2025-12-22 12:23
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),89978.0,358722965,185,18792736.0,89975.0,87477.0,1.34068,3985.63024832,2025-12-22 12:23
kaia,kaia,Kaia,0.060214,353048335,186,9492929.0,0.060257,0.058628,0.38635,5856641747.106198,2025-12-22 12:23
trust-wallet-token,twt,Trust Wallet,0.843064,350494317,187,13848606.0,0.84272,0.81921,0.57282,416649900.0,2025-12-22 12:23
euro-coin,eurc,EURC,1.17,350257351,188,15031603.0,1.17,1.17,0.20764,298399012.5265981,2025-12-22 12:23
apenft,nft,AINFT,3.53509e-07,349131196,189,25947411.0,3.54494e-07,3.50273e-07,0.6151,990105667256391.5,2025-12-22 12:23
pyth-network,pyth,Pyth Network,0.060545,348060902,190,12628675.0,0.060599,0.058013,0.70101,5749982813.929336,2025-12-22 12:23
pippin,pippin,pippin,0.347125,345765198,191,43496367.0,0.454661,0.344597,-18.30489,999937719.163135,2025-12-22 12:23
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,0.133148,340235188,192,3715453.0,0.133144,0.129058,0.81416,2564455966.989232,2025-12-22 12:23
dogwifcoin,wif,dogwifhat,0.340892,340208147,193,123793856.0,0.348101,0.332297,-2.07094,998926392.0,2025-12-22 12:23
kinesis-gold,kau,Kinesis Gold,141.9,339145605,194,85468.0,142.33,137.33,1.21142,2386227.8342,2025-12-22 12:23
cap-usd,cusd,Cap USD,1.002,338524982,195,15216.97,1.008,0.994806,0.22259,338155064.2990348,2025-12-22 12:23
crvusd,crvusd,crvUSD,1.001,335103526,196,15808247.0,1.004,0.992969,0.17262,335152597.7237198,2025-12-22 12:23
resolv-usr,usr,Resolv USR,0.998866,334217603,197,419961.0,1.0,0.9984,0.00782,334598514.3324218,2025-12-22 12:23
usx,usx,USX,0.99875,328401327,198,1590971.0,0.999933,0.99875,-0.05398,328810921.947244,2025-12-22 12:23
gnosis,gno,Gnosis,123.68,326721313,199,8281591.0,124.12,120.42,1.40357,2639589.0,2025-12-22 12:23
resolv-wstusr,wstusr,Resolv wstUSR,1.12,325551280,200,229402.0,1.12,1.12,0.00776,289661303.6615495,2025-12-22 12:23
